Soil_Type,Farm_Area_acres,Water_Availability_L_per_week,Irrigation_Type,Fertilizer_Used_kg,Season,Rainfall_mm,Temperature_C,Soil_pH,Crop,Crop_Yield_ton_per_acre
Clay,19.86,2845,Rainfed,164.87,Summer,1184.01,30.16,8.7,Maize,3.723
Sandy,3.42,799,Flood,188.47,Zaid,251.02,14.82,8.06,Tomato,5.774
Clay,2.37,4724,Sprinkler,199.75,Zaid,729.19,34.34,7.28,Potato,5.994
Peaty,17.69,2406,Drip,98.08,Zaid,1064.65,22.62,8.52,Wheat,3.451
Silty,6.73,2985,Flood,60.87,Rabi,422.91,28.07,7.41,Tomato,5.654
Peaty,13.36,706,Rainfed,120.8,Zaid,355.24,22.8,8.89,Maize,2.929
Sandy,7.25,793,Rainfed,178.6,Zaid,707.28,10.77,8.43,Potato,6.259
Silty,8.44,2373,Sprinkler,103.83,Rabi,572.53,40.68,7.2,Wheat,2.408
Clay,5.98,4258,Sprinkler,110.97,Summer,1043.82,15.21,8.69,Rice,3.541
Silty,7.52,2588,Drip,44.2,Summer,1460.44,30.38,6.37,Tomato,6.291
Loamy,8.8,2272,Drip,95.68,Kharif,205.81,40.91,7.8,Rice,2.675
Silty,14.69,3363,Rainfed,89.66,Kharif,1373.09,17.75,5.69,Potato,5.962
Loamy,10.72,4873,Rainfed,83.3,Zaid,763.19,24.42,8.58,Rice,4.172
Silty,18.93,3926,Flood,179.71,Rabi,1063.21,23.22,5.99,Maize,3.929
Loamy,1.8,1028,Flood,30.67,Summer,1306.34,13.12,8.8,Tomato,6.186
Sandy,10.56,2633,Flood,194.99,Rabi,945.5,24.82,5.07,Wheat,3.538
Peaty,12.1,2424,Sprinkler,21.48,Kharif,326.51,26.78,7.73,Maize,2.458
Clay,18.48,1860,Sprinkler,190.21,Zaid,382.77,10.93,5.6,Potato,5.733
Silty,1.93,1362,Flood,118.65,Kharif,1226.06,27.09,8.08,Tomato,6.982
Peaty,11.9,3716,Rainfed,146.44,Kharif,497.83,13.28,6.97,Potato,5.791
Clay,17.22,2862,Drip,53.68,Summer,939.75,41.24,8.64,Potato,5.084
Clay,5.6,4820,Sprinkler,137.76,Rabi,756.5,32.76,7.86,Potato,5.588
Loamy,17.65,3994,Sprinkler,178.75,Summer,594.73,11.97,8.07,Tomato,6.473
Sandy,1.36,2467,Flood,45.11,Summer,1223.06,38.95,5.48,Maize,3.362
Sandy,14.92,567,Drip,42.87,Kharif,1150.58,22.66,5.39,Potato,5.8
Peaty,18.73,2142,Sprinkler,74.72,Zaid,1039.94,17.9,8.4,Wheat,3.449
Sandy,13.49,1520,Drip,49.11,Kharif,684.47,18.89,5.9,Maize,3.307
Silty,9.34,3643,Sprinkler,39.92,Rabi,494.41,30.92,8.47,Potato,4.866
Sandy,1.85,1970,Drip,142.1,Zaid,870.66,12.85,5.57,Tomato,6.307
Peaty,18.48,1882,Drip,58.49,Summer,1262.24,12.06,6.23,Potato,5.76
Sandy,9.94,3430,Sprinkler,140.06,Rabi,948.36,31.96,8.71,Potato,5.719
Silty,1.55,1836,Drip,175.15,Rabi,1461.18,44.37,8.36,Rice,4.539
Loamy,14.11,3666,Rainfed,137.36,Rabi,220.07,26.92,5.22,Rice,3.207
Peaty,10.15,1742,Sprinkler,41.49,Rabi,1497.85,24.46,6.79,Maize,3.893
Loamy,3.36,2205,Sprinkler,123.24,Kharif,1098.83,43.15,8.64,Rice,4.047
Loamy,5.07,3699,Rainfed,90.85,Rabi,1282.48,18.43,5.06,Tomato,6.686
Loamy,2.23,3094,Drip,81.81,Kharif,635.44,18.42,5.43,Rice,3.147
Clay,11.91,4437,Rainfed,77.34,Zaid,860.84,41.68,7.58,Tomato,5.975
Clay,12.82,2179,Sprinkler,187.3,Rabi,1236.09,32.64,5.42,Potato,6.561
Loamy,10.61,1815,Rainfed,153.65,Kharif,1188.84,11.88,6.8,Maize,3.726
Peaty,16.52,1067,Drip,44.09,Rabi,634.24,33.59,7.03,Rice,2.924
Silty,17.36,3204,Rainfed,105.68,Zaid,621.73,38.7,8.44,Rice,3.422
Silty,12.7,2951,Sprinkler,77.28,Summer,1061.65,19.59,8.83,Maize,3.121
Sandy,1.24,2248,Drip,196.03,Zaid,1413.76,23.4,7.05,Tomato,7.042
Peaty,14.21,1147,Sprinkler,196.05,Summer,770.42,16.92,7.04,Tomato,6.204
Clay,8.94,2693,Sprinkler,77.52,Kharif,658.82,32.17,7.91,Rice,3.039
Loamy,11.75,3308,Flood,83.38,Zaid,1363.09,33.25,5.77,Tomato,6.471
Sandy,13.33,624,Sprinkler,127.89,Kharif,1087.97,12.4,8.76,Tomato,6.794
Silty,7.65,2037,Sprinkler,106.28,Zaid,704.76,33.72,5.0,Rice,3.747
Clay,18.42,2470,Drip,58.36,Rabi,274.46,33.05,5.01,Rice,3.242
Clay,3.55,3262,Drip,138.87,Summer,1137.94,11.23,7.5,Rice,3.874
Loamy,13.76,2317,Drip,80.14,Rabi,658.75,29.44,6.37,Wheat,2.367
Silty,1.08,1314,Rainfed,137.67,Kharif,291.74,31.49,6.59,Rice,3.171
Peaty,18.57,3601,Rainfed,89.06,Rabi,995.98,25.06,5.89,Wheat,3.778
Clay,3.14,4651,Drip,146.04,Summer,619.91,41.55,6.63,Potato,5.401
Loamy,2.8,2154,Rainfed,140.2,Summer,639.99,21.49,8.31,Tomato,6.264
Peaty,7.33,631,Flood,111.59,Summer,822.92,12.35,7.8,Wheat,3.063
Silty,8.1,730,Rainfed,146.85,Summer,1132.72,33.51,5.38,Potato,6.406
Clay,5.07,894,Flood,102.97,Summer,559.23,31.18,5.23,Tomato,6.2
Peaty,12.12,4073,Drip,40.9,Kharif,305.23,44.62,7.02,Tomato,4.653
Peaty,9.42,1481,Drip,52.78,Rabi,751.75,18.1,7.92,Tomato,5.149
Peaty,1.65,1432,Rainfed,64.28,Zaid,271.4,23.84,7.66,Maize,2.966
Clay,7.07,1909,Drip,31.38,Rabi,1106.45,26.14,8.46,Maize,3.377
Clay,16.4,3455,Drip,148.05,Rabi,1447.02,40.15,5.53,Wheat,4.081
Sandy,14.1,3241,Sprinkler,86.13,Kharif,1056.39,24.51,7.42,Wheat,3.393
Silty,14.77,3438,Drip,36.83,Kharif,558.01,37.03,8.06,Tomato,5.658
Loamy,14.26,3920,Sprinkler,167.59,Kharif,436.21,15.49,8.75,Potato,5.543
Peaty,6.91,3004,Drip,143.06,Kharif,502.62,24.34,5.4,Wheat,2.989
Sandy,2.89,3533,Flood,101.4,Rabi,488.09,15.42,5.96,Rice,3.185
Loamy,6.18,4479,Flood,64.54,Summer,607.98,43.24,6.42,Rice,3.015
Sandy,16.8,4323,Drip,47.31,Summer,326.55,16.22,7.16,Wheat,2.571
Clay,19.63,4980,Flood,102.51,Kharif,1364.43,24.67,6.63,Potato,6.319
Peaty,10.38,1211,Flood,179.34,Zaid,1350.66,12.88,8.44,Rice,4.183
Loamy,1.18,3476,Flood,53.91,Rabi,999.81,42.25,8.8,Tomato,6.424
Loamy,3.66,1971,Rainfed,122.36,Rabi,280.5,31.83,5.28,Tomato,5.849
Loamy,7.12,4199,Flood,193.1,Zaid,1245.2,43.69,7.8,Maize,4.445
Loamy,11.99,3686,Sprinkler,134.68,Kharif,280.33,11.48,5.46,Maize,2.556
Loamy,2.43,1642,Rainfed,99.19,Rabi,338.35,16.12,8.59,Maize,2.781
Sandy,18.92,4481,Sprinkler,148.95,Zaid,622.89,23.3,5.57,Potato,5.891
Peaty,7.94,3068,Sprinkler,168.42,Summer,760.91,31.75,8.97,Tomato,6.665
Clay,18.34,2108,Sprinkler,126.29,Zaid,660.06,21.53,6.71,Potato,5.156
Clay,15.83,4322,Rainfed,176.93,Zaid,414.8,34.92,6.53,Rice,3.044
Clay,15.35,2397,Drip,112.63,Kharif,345.77,15.78,7.35,Tomato,5.526
Clay,12.53,2692,Flood,169.41,Rabi,1317.24,31.02,6.58,Maize,4.408
Sandy,12.91,4572,Flood,191.36,Zaid,672.14,23.93,5.94,Maize,3.606
Silty,13.12,1591,Drip,110.22,Rabi,484.18,27.79,7.52,Rice,3.441
Peaty,12.95,1199,Drip,128.9,Rabi,833.09,29.94,7.91,Tomato,6.394
Loamy,11.52,4592,Sprinkler,129.7,Kharif,247.87,12.1,8.78,Potato,4.89
Silty,19.74,2401,Rainfed,160.66,Summer,980.37,42.34,6.64,Potato,6.376
Clay,14.91,2678,Sprinkler,168.13,Rabi,523.04,37.51,7.82,Rice,3.375
Silty,15.76,1232,Flood,24.9,Kharif,977.66,25.49,8.33,Tomato,5.473
Peaty,17.58,1012,Drip,152.0,Kharif,998.36,29.16,8.33,Potato,5.88
Loamy,5.1,3187,Flood,161.09,Zaid,1251.99,11.14,5.14,Maize,3.73
Loamy,2.59,4596,Drip,146.08,Rabi,498.88,27.43,6.42,Maize,3.433
Peaty,10.17,4256,Rainfed,148.47,Kharif,802.5,24.92,5.05,Potato,6.111
Peaty,10.77,931,Sprinkler,27.45,Summer,1450.45,23.11,7.24,Tomato,6.726
Clay,16.75,4994,Flood,99.57,Zaid,1145.26,38.54,8.46,Potato,6.436
Loamy,9.43,1307,Rainfed,167.27,Summer,1467.95,16.37,8.26,Rice,4.64
Silty,11.85,1779,Flood,188.12,Kharif,1405.58,16.17,8.24,Tomato,7.423
Sandy,11.01,2721,Drip,61.3,Zaid,993.97,28.26,6.41,Potato,5.602
Sandy,1.73,1354,Flood,124.26,Rabi,543.11,34.05,5.19,Maize,3.27
Peaty,12.69,3712,Rainfed,164.78,Zaid,1184.0,10.79,5.69,Tomato,6.619
Clay,16.73,3086,Rainfed,155.43,Zaid,1107.56,29.1,7.68,Wheat,3.758
Sandy,3.99,3268,Sprinkler,131.4,Summer,965.56,20.45,5.54,Tomato,6.581
Loamy,12.29,4838,Flood,23.36,Rabi,1107.18,36.49,5.5,Maize,3.489
Peaty,12.28,3840,Drip,150.3,Kharif,997.66,26.41,6.41,Tomato,6.705
Silty,4.12,3728,Flood,159.18,Summer,875.19,39.19,5.38,Rice,3.87
Peaty,3.35,2119,Sprinkler,150.11,Rabi,740.74,23.89,6.32,Maize,3.763
Silty,19.62,775,Drip,157.85,Kharif,258.12,38.95,8.88,Maize,3.232
Peaty,8.48,4603,Drip,97.56,Zaid,1325.39,35.08,5.08,Rice,3.689
Peaty,5.32,4363,Sprinkler,198.88,Rabi,1325.2,38.99,8.32,Wheat,4.113
Peaty,4.26,1214,Drip,158.74,Summer,972.26,38.43,8.97,Tomato,6.098
Silty,13.68,2580,Rainfed,124.16,Kharif,548.25,27.02,6.75,Rice,4.021
Silty,12.58,1309,Rainfed,188.15,Kharif,236.57,22.88,8.77,Tomato,6.237
Peaty,13.23,4226,Drip,183.48,Rabi,201.86,36.78,6.04,Tomato,6.252
Sandy,2.67,4478,Flood,166.62,Rabi,294.78,22.65,8.93,Wheat,2.581
Clay,17.98,1361,Drip,121.47,Zaid,667.85,13.13,8.45,Tomato,5.987
Clay,8.4,536,Flood,114.88,Kharif,444.91,40.06,8.54,Rice,3.479
Clay,6.95,4311,Sprinkler,79.17,Zaid,544.58,23.9,5.52,Tomato,6.34
Silty,9.78,2581,Rainfed,65.16,Zaid,1109.56,14.64,8.48,Tomato,6.333
Silty,8.41,954,Rainfed,112.22,Summer,1446.89,32.63,8.77,Wheat,3.727
Sandy,17.41,3808,Sprinkler,124.0,Summer,468.81,41.14,8.28,Tomato,5.685
Clay,18.66,4807,Sprinkler,64.01,Rabi,805.34,40.13,5.37,Maize,2.71
Clay,6.77,3711,Rainfed,186.07,Rabi,1488.92,29.41,5.34,Potato,7.27
Peaty,17.41,3155,Sprinkler,120.31,Rabi,1411.18,13.08,6.43,Maize,4.17
Silty,15.85,1481,Drip,114.77,Summer,658.01,34.38,7.82,Wheat,2.99
Clay,18.69,4891,Drip,98.41,Zaid,615.6,31.31,5.05,Tomato,6.145
Sandy,5.67,651,Flood,30.45,Zaid,514.82,17.36,8.8,Rice,2.981
Sandy,11.96,3794,Flood,178.83,Summer,402.02,41.52,7.1,Tomato,5.875
Clay,6.22,1099,Flood,77.06,Rabi,798.07,13.03,6.43,Tomato,5.717
Silty,16.66,1822,Drip,135.64,Rabi,643.46,23.06,7.24,Wheat,3.061
Sandy,1.1,2011,Rainfed,129.34,Zaid,1168.29,13.31,7.86,Tomato,6.695
Peaty,11.73,2758,Flood,125.21,Kharif,507.93,41.92,6.09,Rice,3.61
Sandy,7.44,731,Drip,114.63,Kharif,1157.23,11.24,6.16,Rice,3.854
Loamy,7.13,3242,Rainfed,52.66,Kharif,574.59,24.9,6.87,Potato,5.098
Loamy,13.25,4962,Sprinkler,70.51,Kharif,970.55,40.16,7.68,Potato,5.806
Silty,17.18,1071,Drip,114.35,Rabi,1029.96,18.8,7.83,Tomato,6.501
Clay,12.57,1702,Sprinkler,162.08,Summer,1073.32,13.68,6.3,Rice,3.488
Silty,17.21,2007,Flood,97.76,Summer,427.94,14.45,6.29,Tomato,5.494
Silty,6.03,2112,Rainfed,56.71,Kharif,567.52,24.17,6.95,Maize,3.175
Silty,10.87,4066,Drip,35.83,Summer,519.95,25.0,7.17,Wheat,2.462
Silty,9.56,4540,Flood,139.34,Zaid,949.01,35.13,7.6,Wheat,3.458
Peaty,1.22,2070,Flood,96.2,Kharif,298.47,18.33,7.47,Rice,2.773
Peaty,11.58,1539,Rainfed,42.57,Rabi,873.73,34.56,6.49,Maize,2.972
Sandy,13.57,1925,Sprinkler,141.4,Kharif,313.71,44.96,6.19,Rice,2.795
Loamy,12.25,4581,Flood,57.36,Zaid,638.17,40.25,6.23,Maize,2.45
Silty,14.99,670,Rainfed,111.62,Summer,1092.72,32.25,7.58,Rice,3.778
Sandy,11.86,688,Rainfed,75.11,Summer,736.33,42.9,6.73,Potato,5.516
Loamy,2.27,1099,Drip,187.7,Summer,564.44,44.69,5.54,Tomato,6.234
Clay,3.21,4517,Flood,61.09,Rabi,1000.61,29.96,5.02,Wheat,3.822
Peaty,12.33,3832,Sprinkler,95.59,Kharif,1162.35,19.58,5.12,Wheat,3.353
Loamy,6.22,4076,Sprinkler,192.71,Rabi,530.96,42.02,8.47,Maize,3.66
Clay,2.51,2889,Flood,77.37,Zaid,589.22,39.55,6.83,Potato,5.743
Loamy,9.16,1453,Sprinkler,136.03,Rabi,1032.38,12.96,7.63,Maize,4.007
Peaty,11.53,2125,Rainfed,77.01,Kharif,1454.79,42.77,8.72,Potato,6.325
Peaty,7.25,2370,Rainfed,39.92,Summer,478.03,22.82,5.51,Maize,2.87
Sandy,14.69,4761,Flood,132.96,Summer,1050.52,21.27,6.79,Rice,4.21
Silty,13.23,2524,Sprinkler,184.89,Summer,1378.57,22.01,7.16,Rice,4.467
Loamy,7.32,4829,Rainfed,101.46,Summer,800.56,21.2,8.37,Wheat,2.43
Loamy,15.34,1140,Flood,132.71,Rabi,611.9,28.06,8.97,Maize,3.476
Clay,13.33,2327,Rainfed,129.6,Kharif,1066.93,30.29,7.85,Maize,3.521
Peaty,13.11,1039,Flood,94.72,Kharif,240.86,24.9,7.57,Rice,3.085
Loamy,11.52,2865,Drip,130.68,Kharif,668.21,24.44,8.68,Maize,3.263
Peaty,1.22,4938,Drip,66.68,Rabi,535.37,35.81,8.35,Wheat,2.75
Loamy,14.23,4001,Flood,88.05,Summer,492.01,10.11,8.46,Wheat,2.575
Sandy,8.14,4447,Drip,99.62,Summer,433.69,43.14,5.01,Maize,3.146
Silty,18.91,3526,Drip,175.52,Kharif,1158.18,35.01,7.06,Wheat,3.619
Loamy,16.54,4037,Sprinkler,82.7,Summer,1441.63,34.75,8.13,Wheat,3.714
Peaty,12.17,4674,Drip,134.32,Rabi,700.2,24.77,5.73,Maize,3.51
Sandy,5.79,2996,Sprinkler,58.41,Zaid,263.83,43.8,8.01,Maize,2.292
Loamy,4.87,4786,Drip,65.46,Summer,1134.59,10.01,5.04,Rice,3.639
Clay,7.47,2589,Drip,136.72,Zaid,899.67,12.68,7.3,Rice,4.293
Silty,10.05,3821,Rainfed,157.22,Zaid,1140.74,38.14,8.41,Potato,6.417
Loamy,6.63,4081,Flood,103.18,Zaid,1042.28,35.85,6.73,Maize,3.404
Sandy,10.78,3049,Drip,80.32,Summer,1377.07,19.5,7.96,Potato,5.985
Clay,4.14,1716,Flood,183.85,Zaid,382.57,30.82,7.12,Maize,3.151
Sandy,19.58,4478,Flood,44.45,Summer,419.91,28.62,7.59,Potato,5.104
Sandy,3.05,1241,Rainfed,149.73,Kharif,644.04,28.45,7.07,Tomato,5.869
Clay,18.71,4685,Flood,144.23,Rabi,838.81,30.84,6.9,Maize,3.579
Sandy,18.36,2214,Flood,144.24,Zaid,1403.43,44.78,8.37,Wheat,3.844
Clay,10.98,4544,Drip,188.38,Zaid,1379.05,44.56,5.37,Potato,6.212
Loamy,14.77,1147,Rainfed,151.07,Kharif,1333.43,44.36,7.34,Tomato,6.714
Clay,9.28,3297,Flood,74.28,Rabi,489.29,29.2,5.46,Tomato,5.856
Clay,12.97,1318,Drip,83.61,Kharif,1148.58,21.13,7.25,Rice,3.461
Silty,7.47,742,Rainfed,90.4,Rabi,698.54,29.6,8.85,Tomato,6.12
Clay,6.72,4814,Drip,25.55,Zaid,1410.54,31.79,5.23,Potato,5.765
Clay,11.99,4604,Rainfed,184.43,Rabi,478.9,20.9,6.69,Tomato,6.873
Loamy,10.46,4377,Rainfed,33.24,Kharif,383.64,32.15,8.21,Tomato,5.466
Silty,12.01,512,Sprinkler,145.96,Zaid,1295.1,31.77,6.48,Rice,4.114
Peaty,6.45,3517,Sprinkler,151.43,Kharif,1131.98,41.62,7.08,Rice,3.512
Loamy,7.97,1189,Sprinkler,171.87,Zaid,1267.85,18.32,5.46,Maize,4.179
Loamy,2.59,3638,Flood,119.61,Summer,405.33,34.42,5.89,Wheat,3.207
Peaty,1.99,4240,Drip,150.55,Zaid,1350.23,25.78,7.75,Tomato,6.906
Clay,5.82,1176,Rainfed,74.49,Rabi,1080.91,14.55,8.31,Wheat,3.339
Sandy,2.41,4074,Drip,154.21,Rabi,1047.03,21.07,7.59,Tomato,6.962
Silty,2.97,4803,Flood,81.81,Rabi,957.36,12.0,8.35,Rice,3.813
Sandy,16.45,1823,Sprinkler,182.51,Rabi,1194.34,21.18,7.42,Potato,6.529
Peaty,1.74,3365,Sprinkler,49.41,Rabi,740.29,12.42,8.24,Maize,2.738
Loamy,13.52,1502,Drip,76.84,Summer,372.67,42.39,8.93,Tomato,5.331
Loamy,6.18,3002,Drip,109.78,Zaid,901.04,13.56,5.33,Potato,5.4
Silty,17.56,2265,Rainfed,159.65,Zaid,1172.53,38.61,6.92,Rice,3.916
Loamy,10.21,2053,Drip,154.78,Summer,399.74,41.71,5.76,Maize,3.336
Loamy,6.81,2791,Rainfed,57.93,Summer,491.23,26.37,6.86,Wheat,2.854
Silty,10.84,2485,Rainfed,45.96,Rabi,1105.51,11.89,7.0,Maize,3.359
Silty,8.26,737,Sprinkler,74.71,Kharif,550.55,30.85,7.49,Wheat,2.592
Peaty,11.72,3817,Drip,107.08,Kharif,420.92,18.22,6.76,Tomato,6.18
Loamy,3.18,2892,Sprinkler,117.02,Rabi,1356.21,16.18,6.3,Wheat,3.695
Loamy,19.94,4055,Rainfed,97.24,Summer,409.16,29.84,5.17,Wheat,2.838
Peaty,9.09,2084,Sprinkler,139.36,Zaid,647.39,22.47,5.14,Maize,3.843
Clay,7.62,1807,Sprinkler,96.96,Kharif,756.96,35.56,5.7,Tomato,5.814
Clay,14.49,2585,Rainfed,190.34,Kharif,818.98,30.69,6.8,Rice,3.966
Clay,7.91,2319,Flood,66.97,Summer,669.7,39.03,6.67,Maize,3.234
Peaty,16.83,531,Flood,132.93,Rabi,1386.3,12.04,5.76,Tomato,7.036
Loamy,9.63,791,Drip,130.05,Zaid,1056.21,18.22,8.29,Potato,6.174
Peaty,14.67,4186,Sprinkler,70.68,Rabi,667.34,29.84,7.73,Rice,2.771
Peaty,3.04,4887,Drip,94.1,Rabi,665.04,40.81,6.37,Wheat,3.203
Clay,17.08,2142,Sprinkler,85.79,Rabi,853.84,38.47,8.19,Potato,5.33
Sandy,14.98,1077,Drip,51.05,Rabi,243.76,33.78,8.96,Wheat,2.149
Loamy,5.02,4409,Drip,105.91,Kharif,1404.64,30.09,5.98,Tomato,6.772
Clay,3.76,1723,Rainfed,89.6,Summer,490.3,32.1,6.45,Rice,2.937
Sandy,7.01,4576,Flood,52.1,Zaid,1106.87,17.48,8.97,Rice,4.083
Sandy,19.55,3152,Flood,100.98,Kharif,1211.04,30.83,5.55,Maize,3.851
Silty,5.88,946,Flood,95.93,Zaid,1275.6,27.28,5.31,Tomato,6.919
Loamy,9.67,3919,Rainfed,43.65,Zaid,415.34,23.46,7.08,Wheat,2.37
Sandy,1.57,4873,Flood,43.61,Kharif,897.7,41.07,6.87,Wheat,3.09
Clay,8.55,3541,Rainfed,136.55,Kharif,308.78,39.03,5.31,Wheat,3.138
Silty,11.86,3079,Sprinkler,147.18,Zaid,1246.23,12.69,6.16,Wheat,3.354
Loamy,19.11,1922,Rainfed,189.41,Zaid,832.39,44.5,6.68,Rice,3.552
Peaty,10.82,3109,Drip,35.66,Summer,406.04,18.05,8.29,Rice,2.704
Clay,16.56,3581,Drip,41.22,Kharif,1134.28,17.54,7.83,Wheat,3.469
Sandy,11.4,558,Sprinkler,29.33,Kharif,630.52,43.03,8.66,Maize,2.671
Sandy,1.77,3659,Sprinkler,115.8,Zaid,348.86,25.57,6.33,Potato,5.397
Clay,6.99,958,Drip,132.09,Zaid,799.4,38.19,6.24,Tomato,6.306
Sandy,11.94,603,Flood,92.63,Rabi,505.82,20.09,6.85,Wheat,3.45
Silty,19.06,1288,Flood,163.62,Zaid,1435.29,40.56,5.03,Tomato,6.418
Loamy,17.32,1241,Flood,143.61,Zaid,669.77,39.13,5.83,Wheat,3.012
Silty,5.34,3906,Sprinkler,197.45,Summer,944.19,28.18,5.85,Maize,3.145
Sandy,5.18,2072,Drip,44.82,Zaid,1432.87,34.68,5.24,Potato,6.115
Peaty,4.82,3201,Rainfed,30.5,Rabi,711.84,43.74,6.82,Wheat,2.816
Loamy,18.53,3912,Sprinkler,69.46,Rabi,665.56,25.82,8.62,Wheat,2.904
Loamy,17.2,3476,Drip,23.43,Kharif,411.13,27.3,5.02,Potato,5.178
Clay,15.72,2634,Flood,187.87,Rabi,1419.79,35.3,7.51,Wheat,3.692
Clay,8.46,927,Flood,74.71,Kharif,1240.97,23.52,8.52,Rice,4.229
Peaty,10.58,2444,Flood,119.44,Zaid,487.31,43.64,5.43,Maize,3.648
Loamy,9.82,1771,Drip,77.25,Rabi,632.48,11.42,8.67,Rice,3.133
Peaty,5.81,911,Flood,64.25,Summer,1389.39,24.12,8.27,Maize,4.018
Clay,10.6,2431,Drip,47.43,Summer,898.46,34.98,5.86,Rice,3.259
Clay,1.58,2995,Sprinkler,77.67,Rabi,923.23,25.03,8.62,Rice,3.864
Loamy,3.5,746,Rainfed,130.78,Kharif,1042.59,19.07,8.22,Wheat,3.91
Silty,17.85,3317,Flood,194.89,Kharif,1190.81,24.47,5.45,Maize,4.534
Sandy,15.28,2671,Sprinkler,120.46,Kharif,1421.07,40.85,8.32,Maize,3.876
Clay,9.03,3831,Sprinkler,115.89,Rabi,1242.89,29.15,7.17,Wheat,3.704
Clay,10.83,3424,Drip,26.35,Zaid,1414.91,21.73,8.26,Maize,3.321
Silty,8.03,2560,Sprinkler,171.22,Zaid,1266.79,33.5,7.47,Maize,4.458
Silty,15.07,3834,Drip,28.07,Zaid,260.36,31.41,6.57,Wheat,2.497
Peaty,15.9,1444,Drip,183.12,Kharif,352.8,29.62,7.4,Tomato,5.799
Peaty,15.5,2747,Sprinkler,116.96,Rabi,1350.36,23.69,7.54,Potato,6.462
Sandy,14.73,1762,Drip,50.32,Summer,236.01,12.53,8.06,Rice,2.46
Sandy,4.89,675,Drip,101.31,Zaid,1232.43,31.73,8.32,Maize,3.668
Loamy,7.42,1552,Drip,199.1,Zaid,1304.8,24.69,7.65,Potato,7.038
Peaty,9.93,3224,Sprinkler,74.91,Kharif,740.1,25.01,8.96,Wheat,3.411
Clay,7.29,3082,Rainfed,68.5,Zaid,661.31,18.19,8.11,Maize,3.281
Peaty,15.34,1817,Drip,41.24,Rabi,452.73,18.73,8.64,Potato,4.952
Clay,7.26,3867,Flood,127.49,Zaid,263.59,37.56,6.28,Rice,3.288
Silty,3.63,2174,Sprinkler,36.06,Kharif,1169.0,26.78,6.26,Potato,5.582
Peaty,8.58,833,Sprinkler,157.88,Rabi,295.85,13.83,6.45,Tomato,6.088
Silty,19.62,1764,Drip,185.46,Kharif,1428.07,11.6,6.76,Maize,4.282
Sandy,5.29,3677,Sprinkler,187.74,Summer,585.77,17.87,8.85,Rice,3.739
Sandy,12.63,3445,Flood,39.42,Zaid,1232.52,27.06,5.29,Rice,3.67
Loamy,9.23,4718,Rainfed,120.49,Rabi,277.59,31.6,6.99,Rice,3.452
Peaty,2.35,3165,Sprinkler,37.48,Rabi,897.16,15.03,5.64,Tomato,5.844
Silty,10.27,915,Sprinkler,122.96,Zaid,653.83,25.19,8.24,Potato,5.618
Clay,14.34,1207,Sprinkler,166.7,Summer,239.0,12.54,5.12,Rice,3.175
Sandy,10.75,3184,Drip,116.8,Summer,1052.54,11.32,6.82,Tomato,5.99
Sandy,17.57,3866,Flood,176.97,Zaid,1426.11,40.22,6.58,Maize,4.257
Clay,6.49,4003,Rainfed,164.3,Zaid,213.98,33.04,5.37,Maize,3.161
Silty,2.64,4942,Flood,69.78,Zaid,551.57,37.34,6.51,Wheat,2.209
Silty,18.79,3059,Flood,133.42,Kharif,1114.69,16.37,8.24,Tomato,6.286
Peaty,8.19,4471,Sprinkler,21.33,Rabi,1332.63,21.28,5.55,Rice,3.37
Peaty,11.95,3457,Rainfed,91.29,Rabi,448.01,25.53,8.93,Tomato,6.255
Loamy,16.05,2229,Flood,62.83,Zaid,291.93,33.03,5.23,Tomato,5.631
Sandy,7.16,2401,Rainfed,188.68,Kharif,211.23,28.72,6.16,Potato,5.911
Peaty,14.61,1541,Drip,92.97,Kharif,479.77,29.3,8.1,Wheat,3.345
Silty,3.57,526,Sprinkler,137.73,Rabi,292.71,15.49,6.43,Tomato,5.923
Clay,6.53,3083,Drip,151.76,Summer,667.2,26.62,6.92,Rice,3.876
Silty,3.75,1552,Rainfed,159.18,Zaid,772.16,38.83,5.75,Wheat,3.35
Sandy,16.41,2174,Sprinkler,152.44,Zaid,823.9,27.83,7.86,Maize,3.536
Silty,5.23,3555,Drip,72.05,Kharif,385.03,16.99,5.72,Tomato,5.344
Loamy,14.63,2158,Sprinkler,143.49,Rabi,803.18,24.47,8.39,Potato,5.884
Sandy,18.92,4451,Drip,118.82,Kharif,211.77,36.42,7.16,Rice,3.003
Clay,11.03,3688,Flood,127.53,Summer,511.25,14.72,7.19,Tomato,5.445
Loamy,11.26,2241,Sprinkler,20.15,Rabi,679.81,30.32,8.73,Potato,4.803
Sandy,9.76,4587,Rainfed,66.49,Zaid,353.86,43.79,8.09,Maize,2.129
Clay,7.19,4637,Sprinkler,187.52,Rabi,1258.21,23.31,7.97,Tomato,6.768
Loamy,10.04,3731,Rainfed,72.21,Rabi,461.58,11.53,8.43,Potato,5.244
Loamy,12.45,2214,Drip,98.84,Zaid,1181.36,32.16,5.37,Rice,3.932
Sandy,19.73,3696,Drip,53.6,Summer,816.06,11.65,7.9,Rice,3.259
Peaty,18.82,3831,Rainfed,44.95,Kharif,823.67,16.71,5.93,Maize,3.197
Loamy,17.38,3847,Drip,57.56,Summer,1038.75,11.69,6.12,Wheat,3.307
Loamy,17.89,2486,Sprinkler,119.66,Summer,257.56,15.97,5.06,Tomato,5.812
